t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,p_error,i_error,d_error,kp,ki,kd,reward,reward_cum,force_left,force_right
0.98,49,0.35206228494644165,0.9359765648841858,0.35977354645729065,0.29565441608428955,-2.0921897888183594,0.6266660690307617,0.4626781940460205,0.8865262866020203,0.48101383447647095,0.11061591655015945,-0.04945027455687523,0.1212402880191803,0.1212402880191803,0.19776120781898499,0.0,10.0,0.5,1.0,-0.04339365024766655,-2.344738777643201,4.373333930969238,5.626666069030762
1.0,50,0.3567066490650177,0.9342164397239685,0.3647402822971344,0.24833600223064423,-2.3659210205078125,0.3139524459838867,0.45780816674232483,0.8890510201454163,0.4755282700061798,0.10110149532556534,-0.04516543447971344,0.11078798770904541,0.11078798770904541,0.2000814825296402,0.0,10.0,0.5,1.0,-0.042334364944969595,-2.3870731425881706,4.686047554016113,5.313952445983887
1.02,51,0.36035969853401184,0.9328134059906006,0.36865347623825073,0.19566036760807037,-2.633781909942627,0.0,0.45232176780700684,0.8918548226356506,0.4693669378757477,0.0919620618224144,-0.04095860570669174,0.10071345418691635,0.10071345418691635,0.20219649374485016,0.0,10.0,0.5,1.0,-0.040819296659673744,-2.4278924392478443,5.0,5.0
1.04,52,0.36292874813079834,0.9318168759346008,0.37140902876853943,0.1377774029970169,-2.894148111343384,-0.3139524459838867,0.44622138142585754,0.8949226140975952,0.46253859996795654,0.0832926481962204,-0.036894291639328,0.09112957864999771,0.09112957864999771,0.20411492884159088,0.0,10.0,0.5,1.0,-0.03885664950915721,-2.4667490887570014,5.313952445983887,4.686047554016113
1.06,53,0.36432361602783203,0.9312723875045776,0.3729064166545868,0.07486911118030548,-3.145414352416992,-0.6266660690307617,0.43950989842414856,0.8982377648353577,0.4550529718399048,0.07518628239631653,-0.03303466737270355,0.08214657753705978,0.08214657753705978,0.20584769546985626,0.0,10.0,0.5,1.0,-0.03645718325891205,-2.5032062720159134,5.626666069030762,4.373333930969238
1.08,54,0.36445677280426025,0.931220293045044,0.37304937839508057,0.0071491459384560585,-3.385998487472534,-0.9369063377380371,0.43219074606895447,0.901782214641571,0.4469207227230072,0.06773396581411362,-0.029438091441988945,0.07387132197618484,0.07387132197618484,0.2074078768491745,0.0,10.0,0.5,1.0,-0.03363418241943168,-2.536840454435345,5.936906337738037,4.063093662261963
1.1,55,0.36324331164360046,0.9316943287849426,0.37174662947654724,-0.06513777375221252,-3.6143457889556885,-1.243449330329895,0.42426797747612,0.9055367112159729,0.43815332651138306,0.061024658381938934,-0.026157628744840622,0.06640670448541641,0.06640670448541641,0.20881065726280212,0.0,10.0,0.5,1.0,-0.030403417703610706,-2.5672438721389557,6.2434492111206055,3.7565505504608154
1.12,56,0.36060112714767456,0.9327201247215271,0.36891230940818787,-0.14171645045280457,-3.8289337158203125,-1.5450849533081055,0.41574639081954956,0.9094805717468262,0.42876332998275757,0.0551452599465847,-0.023239534348249435,0.05985102429986,0.05985102429986,0.21007323265075684,0.0,10.0,0.5,1.0,-0.02678310363439145,-2.594026975773347,6.5450849533081055,3.4549150466918945
1.1400000000000001,57,0.35645103454589844,0.9343140125274658,0.36446666717529297,-0.22228196263313293,-4.028275489807129,-1.8406227827072144,0.40663158893585205,0.9135922193527222,0.41876402497291565,0.05018053948879242,-0.02072177454829216,0.05429735407233238,0.05429735407233238,0.21121470630168915,0.0,10.0,0.5,1.0,-0.022793848556517334,-2.616820824329864,6.840622901916504,3.159377336502075
1.16,58,0.3507532477378845,0.9364679455757141,0.35837534070014954,-0.30456700921058655,-4.114253044128418,-2.0,0.3969299793243408,0.9178488850593567,0.40816962718963623,0.04617674648761749,-0.018619028851389885,0.04979429766535759,0.04979429766535759,0.21225562691688538,0.0,10.0,0.5,1.0,-0.018613270560917987,-2.635434094890782,7.128896236419678,2.871103525161743
