t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,reward,reward_cum,force_left,force_right
1.1400000000000001,57,-0.018899893388152122,0.9998213648796082,-0.018901020288467407,-0.060691021382808685,0.09448130428791046,-0.13740752637386322,-0.21128518879413605,0.9774244427680969,-0.2128896415233612,-0.19238530099391937,-0.02239692397415638,-0.1939886212348938,-0.20964496832411098,-17.86374184593145,-0.18406227231025696,-0.4588773250579834
1.16,58,-0.02006778120994568,0.999798595905304,-0.020069127902388573,-0.058405451476573944,0.11427833884954453,-0.12877537310123444,-0.2385542392730713,0.9711291790008545,-0.24087683856487274,-0.2184864580631256,-0.02866944670677185,-0.22080770134925842,-0.14538764070671856,-18.00912948663817,-0.2128896415233612,-0.4704403877258301
1.18,59,-0.02118207886815071,0.9997756481170654,-0.021183662116527557,-0.05572671443223953,0.13393700122833252,-0.11963500827550888,-0.2647198438644409,0.9643253684043884,-0.2679134011268616,-0.2435377687215805,-0.035450275987386703,-0.24672973155975342,-0.08751698858046197,-18.09664647521863,-0.24087683856487274,-0.4801468551158905
1.2,60,-0.022235026583075523,0.9997527599334717,-0.022236859425902367,-0.052659839391708374,0.15334360301494598,-0.11002248525619507,-0.2896801233291626,0.9571235179901123,-0.29389262199401855,-0.2674451172351837,-0.04262925684452057,-0.27165576815605164,-0.03493535053486148,-18.131581825753493,-0.2679134011268616,-0.4879583716392517
1.22,61,-0.023219015449285507,0.9997304081916809,-0.023221103474497795,-0.04921215772628784,0.17238423228263855,-0.09997577965259552,-0.31334367394447327,0.9496397972106934,-0.3187119960784912,-0.29012465476989746,-0.05009060725569725,-0.29549089074134827,0.013185241327263657,-18.11839658442623,-0.29389262199401855,-0.4938441812992096
1.24,62,-0.024126626551151276,0.999708890914917,-0.02412896789610386,-0.04539324715733528,0.19094544649124146,-0.08953449130058289,-0.3356296420097351,0.9419940114021301,-0.3422735631465912,-0.31150299310684204,-0.057714883238077164,-0.3181445896625519,0.05748388969106601,-18.060912694735162,-0.3187119960784912,-0.497780978679657
1.26,63,-0.024950677528977394,0.9996886849403381,-0.024953266605734825,-0.0412149503827095,0.2089148461818695,-0.07873985171318054,-0.3564675450325012,0.9343076944351196,-0.3644843101501465,-0.3315168619155884,-0.06538097560405731,-0.3395310342311859,0.09846492252880418,-17.962447772206357,-0.3422735631465912,-0.49975326657295227
1.28,64,-0.02568426914513111,0.9996700882911682,-0.025687092915177345,-0.036691319197416306,0.22618161141872406,-0.0676344782114029,-0.37579697370529175,0.9267020225524902,-0.3852566182613373,-0.3501127064228058,-0.07296808063983917,-0.3595695197582245,0.13653574422430434,-17.825912027982053,-0.3644843101501465,-0.49975326657295227
1.3,65,-0.026320824399590492,0.9996535181999207,-0.026323864236474037,-0.03183857351541519,0.2426372915506363,-0.05626218020915985,-0.39356696605682373,0.9192959666252136,-0.404508501291275,-0.367246150970459,-0.08035759627819061,-0.37818464636802673,0.17199436843097599,-17.653917659551077,-0.3852566182613373,-0.497780978679657
1.32,66,-0.0268541369587183,0.9996393918991089,-0.026857364922761917,-0.026675047352910042,0.2581762671470642,-0.044667840003967285,-0.40973538160324097,0.9122044444084167,-0.4221639633178711,-0.3828812539577484,-0.08743494004011154,-0.3953065872192383,0.20516737661160553,-17.44875028293947,-0.404508501291275,-0.4938441812992096
1.34,67,-0.02727840468287468,0.9996278882026672,-0.027281787246465683,-0.021221119910478592,0.2726963758468628,-0.03289720416069031,-0.42426797747612,0.9055367112159729,-0.43815332651138306,-0.3969895541667938,-0.09409119188785553,-0.41087156534194946,0.23630629134682007,-17.21244399159265,-0.4221639633178711,-0.4879583716392517
1.36,68,-0.027588270604610443,0.9996193647384644,-0.027591770514845848,-0.015499128960072994,0.28609949350357056,-0.020996764302253723,-0.43713751435279846,0.899394690990448,-0.45241352915763855,-0.4095492362976074,-0.10022468864917755,-0.42482176423072815,0.26563844471666764,-16.946805546875982,-0.43815332651138306,-0.4801468551158905
1.3800000000000001,69,-0.027778862044215202,0.9996141195297241,-0.027782436460256577,-0.009533285163342953,0.2982921898365021,-0.009013429284095764,-0.44832292199134827,0.8938716650009155,-0.46488824486732483,-0.4205440580844879,-0.10574241727590561,-0.43710580468177795,0.2933764398555073,-16.653429107020475,-0.45241352915763855,-0.4704403877258301
1.4000000000000001,70,-0.027845827862620354,0.9996122121810913,-0.027849428355693817,-0.0033495640382170677,0.30918607115745544,0.0030054599046707153,-0.45780816674232483,0.8890510201454163,-0.4755282700061798,-0.4299623370170593,-0.11056122183799744,-0.4476788341999054,0.3067116420186446,-16.34671746500183,-0.46488824486732483,-0.4588773250579834
1.42,71,-0.02778536267578602,0.9996139407157898,-0.027788938954472542,0.0030244060326367617,0.3186984956264496,0.015012502670288086,-0.4655815362930298,0.885004997253418,-0.48429158329963684,-0.43779614567756653,-0.11460891366004944,-0.45650264620780945,0.27969262357034813,-16.067024841431483,-0.4755282700061798,-0.44550326466560364
