t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,p_error,i_error,d_error,kp,ki,kd,reward,reward_cum
5.5200000000000005,276,0.9785032272338867,0.20623137056827545,1.3630743026733398,-2.0889270305633545,-11.582375526428223,-2.0,-0.40346255898475647,0.9149961471557617,-0.4152979552745819,-1.3819658756256104,0.7087647914886475,-1.7783722877502441,-1.7783722877502441,0.01867080293595791,0.0,10.0,0.5,1.0,-0.12459758362197974,-54.71780151830841
5.54,277,0.9678903222084045,0.2513728439807892,1.3166979551315308,-2.3188204765319824,-11.494670867919922,-2.0,-0.4127737283706665,0.9108335971832275,-0.42549723386764526,-1.3806641101837158,0.6594607830047607,-1.7421952486038208,-1.7421952486038208,-0.016534872353076935,0.0,10.0,0.5,1.0,-0.14568514367804836,-54.863486661986464
5.5600000000000005,278,0.9538390040397644,0.3003183603286743,1.2657699584960938,-2.5464017391204834,-11.379063606262207,-2.0,-0.4214937090873718,0.9068313241004944,-0.43509188294410706,-1.3753327131271362,0.6065129637718201,-1.7008618116378784,-1.7008618116378784,-0.05096544325351715,0.0,10.0,0.5,1.0,-0.16667004626256332,-55.030156708249024
5.58,279,0.9357394576072693,0.35269197821617126,1.2103499174118042,-2.770998477935791,-11.229840278625488,-2.0,-0.42961665987968445,0.9030113816261292,-0.44406822323799133,-1.3653560876846313,0.5503193736076355,-1.6544181108474731,-1.6544181108474731,-0.08451823890209198,0.0,10.0,0.5,1.0,-0.18709246951404945,-55.21724917776307
5.6000000000000005,280,0.9129735827445984,0.40801864862442017,1.1505135297775269,-2.9918196201324463,-11.041054725646973,-2.0,-0.43713751435279846,0.899394690990448,-0.45241352915763855,-1.3501111268997192,0.49137604236602783,-1.6029270887374878,-1.6029270887374878,-0.11709169298410416,0.0,10.0,0.5,1.0,-0.20725917656652154,-55.424508354329596
5.62,281,0.8849350214004517,0.4657144844532013,1.0863544940948486,-3.2079532146453857,-10.806679725646973,-2.0,-0.44405198097229004,0.8960010409355164,-0.460115909576416,-1.3289870023727417,0.4302865266799927,-1.5464704036712646,-1.5464704036712646,-0.14858567714691162,0.0,10.0,0.5,1.0,-0.22709386492783032,-55.65160221925743
5.64,282,0.8510528206825256,0.5250800848007202,1.0179871320724487,-3.4183695316314697,-10.520814895629883,-2.0,-0.4503563940525055,0.8928488492965698,-0.46716445684432983,-1.3014092445373535,0.3677687644958496,-1.4851515293121338,-1.4851515293121338,-0.17890189588069916,0.0,10.0,0.5,1.0,-0.24651077898494644,-55.898112998242375
5.66,283,0.8108181357383728,0.5852981805801392,0.9455485343933105,-3.6219277381896973,-10.177909851074219,-2.0,-0.45604774355888367,0.8899553418159485,-0.47354915738105774,-1.266865849494934,0.30465710163116455,-1.419097661972046,-1.419097661972046,-0.2079443782567978,0.0,10.0,0.5,1.0,-0.26541527597884995,-56.16352827422123
5.68,284,0.763813316822052,0.6454372406005859,0.8692007660865784,-3.8173882961273193,-9.773029327392578,-2.0,-0.4611234664916992,0.8873359560966492,-0.4792608916759491,-1.224936842918396,0.241898775100708,-1.348461627960205,-1.348461627960205,-0.23561997711658478,0.0,10.0,0.5,1.0,-0.2837048116105119,-56.44723308583174
5.7,285,0.7097421884536743,0.7044615149497986,0.7891321778297424,-4.00343132019043,-9.302139282226562,-2.0,-0.4655815362930298,0.885004997253418,-0.48429158329963684,-1.175323724746704,0.1805434674024582,-1.273423671722412,-1.273423671722412,-0.2618388235569,0.0,10.0,0.5,1.0,-0.3012703790786699,-56.748503464910414
5.72,286,0.6484591364860535,0.7612494826316833,0.7055585384368896,-4.1786789894104,-8.762398719787598,-2.0,-0.4694202244281769,0.8829748630523682,-0.48863404989242554,-1.1178793907165527,0.1217254176735878,-1.19419264793396,-1.19419264793396,-0.2865149974822998,0.0,10.0,0.5,1.0,-0.31799841959492775,-57.06650188450534
5.74,287,0.5799961686134338,0.8146191835403442,0.61872398853302,-4.341728210449219,-8.152450561523438,-2.0,-0.4726382791996002,0.8812565207481384,-0.4922821819782257,-1.0526344776153564,0.066637322306633,-1.1110061407089233,-1.1110061407089233,-0.3095669746398926,0.0,10.0,0.5,1.0,-0.3337731921344991,-57.40027507663984
5.76,288,0.5045842528343201,0.8633624315261841,0.5289003849029541,-4.49118185043335,-7.4726762771606445,-2.0,-0.47523465752601624,0.8798590898513794,-0.49523070454597473,-0.9798189401626587,0.01649664342403412,-1.0241310596466064,-1.0241310596466064,-0.3309183418750763,0.0,10.0,0.5,1.0,-0.3484795597902535,-57.7487546364301
5.78,289,0.4226674437522888,0.9062848687171936,0.4363865852355957,-4.62568998336792,-6.725412368774414,-2.0,-0.47720855474472046,0.8787900805473328,-0.4974755048751831,-0.8998759984970093,-0.02749478444457054,-0.9338620901107788,-0.9338620901107788,-0.3504982888698578,0.0,10.0,0.5,1.0,-0.3620061100050169,-58.11076074643512
5.8,290,0.334907203912735,0.9422510862350464,0.3415067493915558,-4.743991374969482,-5.915082931518555,-2.0,-0.4785594642162323,0.8780551552772522,-0.49901336431503296,-0.8134666681289673,-0.06419596076011658,-0.8405200839042664,-0.8405200839042664,-0.3682421147823334,0.0,10.0,0.5,1.0,-0.3742484937991721,-58.48500924023429
5.82,291,0.2421756386756897,0.9702324271202087,0.244607612490654,-4.844956398010254,-5.0482401847839355,-2.0,-0.47928696870803833,0.8776582479476929,-0.49984210729599,-0.721462607383728,-0.09257417172193527,-0.7444497346878052,-0.7444497346878052,-0.3840917944908142,0.0,10.0,0.5,1.0,-0.38511282903505745,-58.87012206926935
5.84,292,0.1455363631248474,0.9893528819084167,0.14605508744716644,-4.927626132965088,-4.133495330810547,-2.0,-0.4793908894062042,0.8776015043258667,-0.4999605119228363,-0.624927282333374,-0.11175141483545303,-0.6460155844688416,-0.6460155844688416,-0.3979964554309845,0.0,10.0,0.5,1.0,-0.39451899222859765,-59.26464106149795
5.86,293,0.04621357098221779,0.9989315867424011,0.04623003304004669,-4.991252899169922,-3.181330442428589,-2.0,-0.47887122631073,0.8778851628303528,-0.49936848878860474,-0.5250847935676575,-0.12104643136262894,-0.5455985069274902,-0.5455985069274902,-0.4099125862121582,0.0,10.0,0.5,1.0,-0.40240360899452304,-59.66704467049247
5.88,294,-0.054449599236249924,0.9985164999961853,-0.0544765405356884,-5.0353288650512695,-2.2037925720214844,-2.0,-0.47772809863090515,0.8785077333450317,-0.49806681275367737,-0.4232785105705261,-0.12000877410173416,-0.4435902535915375,-0.4435902535915375,-0.41980448365211487,0.0,10.0,0.5,1.0,-0.4087225548447532,-60.07576722533722
5.9,295,-0.15497781336307526,0.987917959690094,-0.1556050032377243,-5.056422710418701,-1.0547057390213013,-1.8406227827072144,-0.475961834192276,0.8794659376144409,-0.4960573613643646,-0.32098400592803955,-0.10845200717449188,-0.3404523432254791,-0.3404523432254791,-0.42764490842819214,0.0,10.0,0.5,1.0,-0.4131978041165581,-60.48896502945378
5.92,296,-0.25383418798446655,0.967247724533081,-0.25664222240448,-5.05186128616333,0.228068545460701,-1.5450849533081055,-0.47357288002967834,0.8807546496391296,-0.49334296584129333,-0.2197386771440506,-0.0864931046962738,-0.23670074343681335,-0.23670074343681335,-0.4334164559841156,0.0,10.0,0.5,1.0,-0.41561189193234943,-60.90457692138613
5.94,297,-0.34953969717025757,0.9369215369224548,-0.35707974433898926,-5.021876335144043,1.4992570877075195,-1.243449330329895,-0.4705619513988495,0.882366955280304,-0.4899275302886963,-0.12102225422859192,-0.05455459654331207,-0.13284777104854584,-0.13284777104854584,-0.4371119439601898,0.0,10.0,0.5,1.0,-0.4159797670434732,-61.320556688429605
5.96,298,-0.44073739647865295,0.8976360559463501,-0.45642000436782837,-4.967012882232666,2.7431716918945312,-0.9369063377380371,-0.46692997217178345,0.8842942714691162,-0.4858158528804779,-0.026192571967840195,-0.013341790996491909,-0.029395857825875282,-0.029395857825875282,-0.43873435258865356,0.0,10.0,0.5,1.0,-0.41434144957379915,-61.7348981380034
5.98,299,-0.526248037815094,0.8503311276435852,-0.5541821122169495,-4.888106346130371,3.9453184604644775,-0.6266660690307617,-0.4626781940460205,0.8865262866020203,-0.48101383447647095,0.0635698214173317,0.03619517758488655,0.0731683000922203,0.0731683000922203,-0.4382966458797455,0.0,10.0,0.5,1.0,-0.5570967272662504,-62.29199486526965
6.0,300,-0.6051124334335327,0.7961400151252747,-0.649907112121582,-4.786247730255127,5.0929460525512695,-0.3139524459838867,-0.45780816674232483,0.8890510201454163,-0.4755282700061798,0.14730428159236908,0.09291098266839981,0.17437882721424103,0.17437882721424103,-0.43582117557525635,0.0,10.0,0.5,1.0,-0.6077403931605762,-62.899735258430226
6.0200000000000005,301,-0.6766194701194763,0.736332893371582,-0.7431618571281433,-4.66273832321167,6.1754655838012695,0.0,-0.45232176780700684,0.8918548226356506,-0.4693669378757477,0.22429770231246948,0.1555219441652298,0.27379491925239563,0.27379491925239563,-0.43133944272994995,0.0,10.0,0.5,1.0,-0.5969517522328988,-63.49668701066312
6.04,302,-0.7403176426887512,0.6722572445869446,-0.8335427045822144,-4.519043922424316,7.184726238250732,0.3139524459838867,-0.44622138142585754,0.8949226140975952,-0.46253859996795654,0.2940962314605713,0.22266536951065063,0.3710041344165802,0.3710041344165802,-0.4248914420604706,0.0,10.0,0.5,1.0,-0.583692694320077,-64.0803797049832
6.0600000000000005,303,-0.7960119247436523,0.6052809357643127,-0.9206775426864624,-4.356740951538086,8.115134239196777,0.6266660690307617,-0.43950989842414856,0.8982377648353577,-0.4550529718399048,0.3565019965171814,0.29295679926872253,0.4656245708465576,0.4656245708465576,-0.4165251553058624,0.0,10.0,0.5,1.0,-0.5681468279216245,-64.64852653290482
6.08,304,-0.8437472581863403,0.5367406606674194,-1.0042269229888916,-4.177468776702881,8.96362018585205,0.9369063377380371,-0.43219074606895447,0.901782214641571,-0.4469207227230072,0.41155654191970825,0.3650415539741516,0.5573062300682068,0.5573062300682068,-0.4062958359718323,0.0,10.0,0.5,1.0,-0.5505051419169625,-65.19903167482178
6.1000000000000005,305,-0.8837820291519165,0.4678988456726074,-1.0838844776153564,-3.9828789234161377,9.729483604431152,1.243449330329895,-0.42426797747612,0.9055367112159729,-0.43815332651138306,0.4595140516757965,0.4376378357410431,0.6457311511039734,0.6457311511039734,-0.39426547288894653,0.0,10.0,0.5,1.0,-0.5309603308443038,-65.72999200566609
